,T-shirt,bag,belt,blazer,blouse,coat,dress,hat,jeans,legging,pants,scarf,shoe,shorts,skirt,socks,stocking,sunglass,sweater
32160.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
169304.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
100221.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
102919.jpg,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
134447.jpg,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
103419.jpg,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
169934.jpg,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
180677.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
86159.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
38182.jpg,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
189451.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
142692.jpg,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
93855.jpg,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
47890.jpg,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
15709.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
138107.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
46397.jpg,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
46535.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5829.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
118758.jpg,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
64567.jpg,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
137635.jpg,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
183142.jpg,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
5595.jpg,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
98712.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
42815.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
113018.jpg,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
13936.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
129651.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53264.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
34725.jpg,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
12175.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
165398.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
141288.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
61334.jpg,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
106101.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
185847.jpg,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
